,appId,appName,appCategory
0,com.canva.editor,Canva: AI Video & Photo Editor,ART_AND_DESIGN
1,com.artgenerator.texttoimage.aiart.outpaiting,Genius: AI Art Photo Editor,ART_AND_DESIGN
2,com.draw.sketch.ardrawing.trace.anime.paint,AR Drawing - Sketchar App,ART_AND_DESIGN
3,com.draw.sketch.ardrawing.paint.cartoon,Draw Cartoon - AR Drawing App,ART_AND_DESIGN
4,com.adsk.sketchbook,Sketchbook,ART_AND_DESIGN
5,app.artworkout.learn.how.to.draw,Learn how to draw - ArtWorkout,ART_AND_DESIGN
6,jp.ne.ibis.ibispaintx.app,ibis Paint X,ART_AND_DESIGN
7,ai.leonardo.leonardo,Leonardo.Ai - Image Generator,ART_AND_DESIGN
8,com.facechanger.agingapp.futureself,Future Self Face Aging Changer,ART_AND_DESIGN
9,com.univenn.videogen,AI Video Generator - Clips AI,ART_AND_DESIGN
10,ai.interior.design.home.renovation.app,AI Home Design: Interior DecAI,ART_AND_DESIGN
11,com.draw.sketch.ardrawing.paint.anime,Draw Anime: AR Drawing Sketch,ART_AND_DESIGN
12,ar.drawing.sketch.paint.trace.draw.picture.paper,AR Drawing: Sketch & Paint,ART_AND_DESIGN
13,com.feraset.livensa,Livensa: AI Video Maker,ART_AND_DESIGN
14,com.adobe.spark.post,Adobe Express: Videos & Photos,ART_AND_DESIGN
15,com.vyroai.aiart,ImagineArt : AI Art Generator,ART_AND_DESIGN
16,com.magic.doodle.art.drawing,Magic Doodle: Glow Art Drawing,ART_AND_DESIGN
17,com.banix.drawsketch.animationmaker,Draw Animation - Anim Creator,ART_AND_DESIGN
18,com.appxstudio.esportlogo,Esports Logo Maker,ART_AND_DESIGN
19,ai.aiart.aiartgenerator.creart,CreArt - AI Image Generator,ART_AND_DESIGN
20,com.ardrawing.sketch.trace.paint.drawsketch.aipainting.paper,AR Draw Sketch: Trace & Paint,ART_AND_DESIGN
21,org.ai.create.filter,Creati AI Photo Generator,ART_AND_DESIGN
22,com.backgroundremover.enhancephotos.photostudio,PixShift: BackGround Changer,ART_AND_DESIGN
23,ai.art.generated.drawing.anime.photo.dream,Anime AI - Photo Maker,ART_AND_DESIGN
24,com.axis.drawingdesk.v3,Drawing Desk: Learn to Draw,ART_AND_DESIGN
25,com.customuse.customuse,Customuse: Skins Maker Roblox,ART_AND_DESIGN
26,com.microsoft.designer,Microsoft Designer,ART_AND_DESIGN
27,pl.planmieszkania.android,Floor Plan Creator,ART_AND_DESIGN
28,com.superapplabs.logolab,Hexa - AI Logo & Art Generator,ART_AND_DESIGN
29,com.youcam.ai.beauty.art.maker.generator,YouCam AI Pro: Art Generator,ART_AND_DESIGN
30,com.motion.frame.aignite,AI Comic：Hug & Kiss Video,ART_AND_DESIGN
31,com.adoreapps.photo.editor,Picshiner - AI Photo Editor,ART_AND_DESIGN
32,com.brakefield.painter,Infinite Painter,ART_AND_DESIGN
33,cartoon.anime.maker.ai.avatar.image.generator.app,Ghibli Anime Maker: CarToonAI,ART_AND_DESIGN
34,com.vblast.flipaclip,FlipaClip: Create 2D Animation,ART_AND_DESIGN
35,ai.video.generator,AI Video - AI Video Generator,ART_AND_DESIGN
36,com.cem.ardrawing.sketch,AR Drawing: Paint & Sketch App,ART_AND_DESIGN
37,com.ar.drawing.sketch.tracedrawing.tracingapp.artdrawing,AR Drawing - Trace Drawing App,ART_AND_DESIGN
38,com.nsr.john.actionfigure.ai,Action Figure Maker: AI Figure,ART_AND_DESIGN
39,com.LifeIsGame.ArtCanvas,ArtCanvas: Learn how to draw,ART_AND_DESIGN
40,jp.co.celsys.clipstudiopaint.googleplay,Clip Studio Paint,ART_AND_DESIGN
41,luma.sora.pika.runway.video.ai,Video AI - AI Hug & Kiss Maker,ART_AND_DESIGN
42,org.contentarcade.apps.logomaker,Logo Maker : Logo Creator,ART_AND_DESIGN
43,com.cem.draw.animation,Animation Creator: Flipbook 2D,ART_AND_DESIGN
44,com.hubx.tattoo,Tattoo AI - Tattoo Design,ART_AND_DESIGN
45,com.cem.flipartify,FlipArtify - 2D Draw Animation,ART_AND_DESIGN
46,com.inforcegames.app3dmodelling,3D Modeling App: Sculpt & Draw,ART_AND_DESIGN
47,ai.vyro.retake,ReShot : AI Photo Generator,ART_AND_DESIGN
48,com.lightricks.photoleap,Photoleap: AI Photo Generator,ART_AND_DESIGN
49,ar.drawing.paint.draw.sketch.art.trace.drawing.app,AR Drawing Paint Sketch Trace,ART_AND_DESIGN
50,com.hangoverstudios.faceswap.ai.art.avatar.generator,Face Swap Magic: AI Avatars,ART_AND_DESIGN
51,com.fonto.storyfont,Fonto - story font for IG,ART_AND_DESIGN
52,com.ardrawing.drawingsketch.easydraw.trace,"AR Drawing: Sketch, Art, Trace",ART_AND_DESIGN
