Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5042,51.48006575994566,194.95546875,18.648704052657873
1,4.5,1.0039,58.07902458978676,192.16328125,3.201625683688742
2,4.5,1.5026,57.35300184320859,192.203125,4.411663594652355
3,4.5,2.0054,60.0,192.192578125,0.0
4,4.5,2.5073999999999996,54.78810488785358,227.819140625,21.91280501035493
5,4.5,3.0071,58.319511329083106,214.671484375,5.602427306249915
6,4.5,3.5077,57.36310994391388,209.473828125,5.394419158553128
7,4.5,4.0087,54.49051509963526,209.601171875,10.978490760710446
8,4.5,4.5094,57.96798076767201,209.736328125,5.192437417065771
9,4.5,5.0113,53.974712471475904,211.004296875,25.90287099839561
10,4.5,5.5115,54.36092747826846,211.61640625,24.994546653126612
11,4.5,6.0123,57.365965092405375,211.66171875,17.567017783947012
12,4.5,6.5139,60.0,211.483203125,0.0
13,4.5,7.0150999999999994,58.80286759435029,211.49453125,1.995220676082856
14,4.5,7.5149,53.158023172582865,211.748828125,12.802101917229274
15,4.5,8.016200000000001,56.05122601685563,211.973828125,7.379301916222341
16,4.5,8.5184,55.986341822042405,211.927734375,19.109400417564984
17,4.5,9.0188,51.01002717084792,212.73828125,37.96854588724738
18,4.5,9.5197,52.93261451957535,212.49375,34.54328129458432
19,4.5,10.0199,58.44140145874436,211.176171875,10.998275827003322
20,4.5,10.5211,57.964737611391385,211.06953125,3.791704779417543
21,4.5,11.0214,54.3612807009679,211.245703125,10.79468298085691
22,4.5,11.522499999999999,57.366662911528906,211.373046875,5.783734050804726
23,4.5,12.0235,53.48167558362642,212.08984375,27.946651793666017
24,4.5,12.5246,52.45552114861782,212.892578125,32.7351448608253
25,4.5,13.0258,54.034180233313954,211.967578125,30.123440075488293
26,4.5,13.5258,58.561904761904756,212.016015625,8.188888888888888
27,4.5,14.0264,57.3652378031612,211.901171875,7.381722975595045
28,4.5,14.5275,55.33050266530036,212.03984375,8.58010511958572
29,4.5,15.0278,56.75829646717233,212.251953125,7.40125199598384
30,4.5,15.5291,54.27714484657366,212.8671875,22.757633226727016
31,4.5,16.0297,53.137369185971444,212.65703125,30.55192952187768
32,4.5,16.530700000000003,54.54240720148082,212.88203125,28.145319046481752
33,4.5,17.0319,57.01187938569908,212.500390625,15.73265699319155
34,4.5,17.5321,57.59827992659869,212.563671875,8.412592498872758
35,4.5,18.035800000000002,56.1796052954453,212.662890625,7.36023433635233
36,4.5,18.539099999999998,55.58508174540037,212.82890625,9.147601621721924
37,4.5,19.0445,53.146857977502805,213.153515625,20.300128606931775
38,4.5,19.546,48.07327209048192,213.266015625,40.54162078099209
39,4.5,20.049,46.71703261180473,213.168359375,46.39007809700707
40,4.5,20.546799999999998,52.620310762636635,213.046484375,28.016899448752866
41,4.5,21.048499999999997,56.83728348012714,213.319140625,14.596327952805046
42,4.5,21.549500000000002,57.82109940750494,213.00703125,8.283866762853489
43,4.5,22.0523,58.81188118811881,213.039453125,4.951282404582407
44,4.5,22.552799999999998,59.756097560975604,212.93828125,1.4227642276422763
45,4.5,23.0554,60.0,212.93359375,0.19646365422396855
46,4.5,23.5572,60.0,212.93359375,0.0
47,4.5,24.0593,60.0,212.93359375,0.0
48,4.5,24.561500000000002,60.0,212.930078125,0.0
49,4.5,25.061799999999998,60.0,212.915625,0.0
50,4.5,25.5646,60.0,212.908203125,0.0
51,4.5,26.0657,60.0,212.908203125,0.0
52,4.5,26.566899999999997,60.0,212.90234375,0.0
53,4.5,27.068399999999997,60.0,212.90234375,0.0
54,4.5,27.566000000000003,60.0,212.90234375,0.0
55,4.5,28.0673,60.0,212.90234375,0.0
56,4.5,28.567200000000003,59.88071570576541,212.90234375,0.1988071570576541
57,4.5,29.066300000000002,60.0,212.90234375,0.2028397565922921
58,4.5,29.567200000000003,60.0,212.90234375,0.0
59,4.5,30.070600000000002,60.0,212.90234375,0.0
60,4.5,30.5696,60.0,212.90234375,0.0
61,4.5,31.0705,60.0,212.90234375,0.0
62,4.5,31.571800000000003,60.0,208.878125,3.989639862941922
63,4.5,32.0732,60.0,208.878125,0.0
64,4.5,32.5743,60.0,208.878125,0.0
