Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5042,51.348158191016786,210.2203125,19.435967713119172
1,4.5,1.0036,58.1978250533758,207.306640625,3.003624911040334
2,4.5,1.5024,57.47396473284327,207.196875,4.2100587785945365
3,4.5,2.0049,59.880239520958085,207.116796875,0.1996007984031936
4,4.5,2.5064,54.17753085642867,239.977734375,21.732855527312065
5,4.5,3.0069,57.88111664872001,235.116015625,7.796085094943129
6,4.5,3.5108000000000006,46.31180665999139,230.80859375,33.52629143155799
7,4.5,4.0083,39.521926688565,230.619921875,53.27915840442753
8,4.5,4.5088,41.65853854463539,230.787890625,52.549318475007226
9,4.5,5.01,43.837717546973565,231.903515625,46.091389693590585
10,4.5,5.5102,48.84330241270276,232.078515625,34.38857035574065
11,4.5,6.0119,58.20335329341317,231.8390625,5.388825536178639
12,4.5,6.5177,49.92684344615397,232.2453125,24.11718671306544
13,4.5,7.015300000000001,38.385140012511194,232.96796875,61.51755416106099
14,4.5,7.5167,37.00573453722383,232.910546875,63.033629798057476
15,4.5,8.0169,40.44819106782875,233.497265625,57.38007173255885
16,4.5,8.5173,45.48638946619532,233.00859375,46.17630654108274
17,4.5,9.018600000000001,56.889087476668635,232.786328125,10.170107612701369
18,4.5,9.52,55.1481066488524,233.29453125,12.973728658024566
19,4.5,10.0222,38.363362088203054,230.66640625,61.921237115437386
20,4.5,10.5212,36.953822301882894,229.7765625,63.95378123533591
21,4.5,11.022499999999999,40.48910480854197,229.908203125,54.86055894513411
22,4.5,11.5232,43.21925187733886,229.99921875,53.137409462665595
23,4.5,12.0238,54.00596697271251,229.734765625,19.377310879761446
24,4.5,12.5244,56.93050023460646,229.830859375,8.967370258328824
25,4.5,13.0277,41.75990916531912,231.1453125,46.30213050259065
26,4.5,13.5263,37.146315195817145,231.10703125,64.62450881768336
27,4.5,14.0275,39.52992637887148,231.7984375,59.056662487633844
28,4.5,14.528,41.897981655913256,229.62734375,56.54479774583776
29,4.5,15.028899999999998,49.6957452229063,228.901953125,31.150292724960742
30,4.5,15.531899999999998,55.30093136414973,229.143359375,13.318433527797911
31,4.5,16.034200000000002,43.867407540715604,229.7078125,42.86044253736658
32,4.5,16.5324,38.48080340167739,230.07265625,61.356543765016525
33,4.5,17.0326,38.415946179224484,230.81953125,61.970495605856044
34,4.5,17.533099999999997,42.13276399416772,231.142578125,54.75537229276623
35,4.5,18.035000000000004,49.952948382055986,230.618359375,31.49811336679261
36,4.5,18.540799999999997,57.847547417768034,230.083203125,6.984238471752907
37,4.5,19.044400000000003,59.52286282306163,229.734375,1.9900676263702923
38,4.5,19.5473,59.88258317025441,229.71875,0.5909902308885165
39,4.5,20.0494,60.0,229.718359375,0.0
40,4.5,20.551,60.0,229.716796875,0.0
41,4.5,21.052699999999998,60.0,229.716015625,0.0
42,4.5,21.5541,60.0,229.691015625,0.0
43,4.5,22.0562,60.0,229.6875,0.0
44,4.5,22.5568,60.0,229.688671875,0.0
45,4.5,23.058699999999998,60.0,229.626171875,0.0
46,4.5,23.560499999999998,60.0,229.646875,0.0
47,4.5,24.061,60.0,229.62109375,0.0
48,4.5,24.5597,60.0,229.62109375,0.0
49,4.5,25.0589,60.0,229.62109375,0.0
50,4.5,25.5606,60.0,229.62109375,0.2
51,4.5,26.061200000000003,60.0,229.62109375,0.0
52,4.5,26.560399999999998,60.0,229.62109375,0.0
53,4.5,27.0601,60.0,229.62109375,0.0
54,4.5,27.5613,60.0,229.62109375,0.0
55,4.5,28.062400000000004,60.0,229.62109375,0.0
56,4.5,28.5637,60.0,229.62109375,0.0
57,4.5,29.0649,60.0,229.62109375,0.0
58,4.5,29.5659,60.0,229.62109375,0.0
59,4.5,30.066699999999997,60.0,229.62109375,0.0
60,4.5,30.5676,60.0,229.62109375,0.0
61,4.5,31.069,60.0,229.62109375,0.0
62,4.5,31.5699,60.0,229.62109375,0.0
63,4.5,32.0712,60.0,229.62109375,0.0
64,4.5,32.572,60.0,229.62109375,0.0
