Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5105000000000001,58.78919739542626,205.273046875,55.2706030519265
1,4.5,1.0033999999999998,59.73541425719187,206.4625,12.576994954667557
2,4.5,1.5021,59.949390047007036,206.53203125,6.012113047852378
3,4.5,2.0044,59.94781242834441,206.579296875,3.3864887962375407
4,4.5,2.5084,58.4324432427256,213.3125,45.83073835770308
5,4.5,3.0131,59.385517719004,215.403125,47.82749981563735
6,4.5,3.5083999999999995,59.95793600128807,214.4828125,8.881942388333588
7,4.5,4.0083,59.921550682717246,214.50234375,15.796542051530077
8,4.5,4.5093000000000005,59.931940610694596,214.78359375,12.97409330513816
9,4.5,5.0146,59.246892023873194,216.3984375,26.667090313205176
10,4.5,5.5192,59.54770772643773,219.130078125,46.031174659390466
11,4.5,6.0169,59.864244029615996,219.4921875,32.91390415904076
12,4.5,6.5172,59.95139527246023,218.76640625,10.839454627989031
13,4.5,7.016,59.90294360946482,218.70703125,15.62316446119441
14,4.5,7.5155,59.8725145258079,218.954296875,18.813701086129647
15,4.5,8.0183,59.72025375936064,219.817578125,17.404520785195338
16,4.5,8.523,58.78982933275803,220.81484375,53.60849930470964
17,4.5,9.0237,59.7848434257107,221.47265625,50.534625560398574
18,4.5,9.5242,59.82318252925429,220.850390625,28.928255214062602
19,4.5,10.021600000000001,59.90662830391274,215.671484375,20.97917200834485
20,4.5,10.522,59.958486653654916,209.96875,16.987368039139945
21,4.5,11.0226,59.90089747676251,209.85703125,16.782045470811365
22,4.5,11.5245,59.92289205657835,209.88828125,13.335532646788792
23,4.5,12.0308,58.77133044331998,210.958984375,44.195221969345155
24,4.5,12.5325,59.858256267813864,211.44921875,52.62692773976213
25,4.5,13.0273,59.86275472909968,209.006640625,30.287496406248163
26,4.5,13.5275,59.79502743243576,200.4671875,11.752875713171306
27,4.5,14.0314,59.945031222006435,200.625390625,15.958377317172435
28,4.5,14.531899999999998,59.85905456879017,200.915234375,25.001522286233193
29,4.5,15.030899999999999,59.905326384273636,200.132421875,12.828381394930094
30,4.5,15.5371,58.99744063189297,201.3609375,39.97255824586664
31,4.5,16.04,59.66926367779892,202.3171875,51.278781785354816
32,4.5,16.5376,59.88475855343363,201.740234375,34.451835880757855
33,4.5,17.0354,59.937182702177736,200.819140625,10.445964953014032
34,4.5,17.5403,59.931984630158,200.7953125,11.485679058044752
35,4.5,18.0437,59.68575289333112,201.17265625,26.196874085573597
36,4.5,18.546699999999998,59.930721101586435,201.327734375,24.72163110556716
37,4.5,19.0549,59.2380787482125,202.499609375,33.63688353636657
38,4.5,19.5579,59.46024476105113,202.85390625,53.368241363465394
39,4.5,20.067500000000003,59.45110776312204,202.814453125,66.50336624493367
40,4.5,20.5581,59.90829645646547,202.243359375,30.379416075859535
41,4.5,21.0539,59.91997541892043,201.958984375,19.1105493212811
42,4.5,21.558500000000002,59.69670082805468,202.01484375,17.977789051261404
43,4.5,22.0582,59.92252045649324,202.03046875,16.781188043758473
44,4.5,22.557499999999997,59.942847465838824,202.107421875,16.05573148337364
45,4.5,23.0579,59.9303236165973,201.993359375,11.385852455975467
46,4.5,23.5594,59.94423686149106,202.010546875,11.366160110514995
47,4.5,24.0608,59.91581420638691,202.021875,11.968399685704956
48,4.5,24.5626,59.94194102980509,202.118359375,11.160221029807342
49,4.5,25.0639,59.92300397507703,202.163671875,11.967833406251021
50,4.5,25.5654,59.945194387773554,202.1984375,11.76185742996767
51,4.5,26.0666,59.943325145536186,202.217578125,11.570217261257751
52,4.5,26.5628,59.971299120980234,202.246875,10.270855557198846
53,4.5,27.063499999999998,59.97502136106094,202.246875,7.194790757176593
54,4.5,27.5642,59.975545577740505,202.287890625,4.993229881513584
55,4.5,28.0628,59.976592620862334,202.339453125,4.015181913504696
56,4.5,28.564,59.9624352311656,202.36484375,4.199190225016168
57,4.5,29.064,59.95340686818486,202.441015625,4.585444166150509
58,4.5,29.5627,59.971239471142425,202.46640625,4.4015143319287855
59,4.5,30.0647,59.96810239435397,202.4921875,5.974568036344363
60,4.5,30.565499999999997,59.954911108933615,202.517578125,5.78937487389443
61,4.5,31.0673,59.973627379197765,202.569140625,6.17774630074092
62,4.5,31.567700000000002,59.954165407174536,202.594921875,5.992897343253976
63,4.5,32.0692,59.96278664428944,202.641796875,5.980488359139088
64,4.5,32.5709,59.97015430211546,202.719140625,5.183330248550663
