Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5134000000000001,58.63801162229315,206.34765625,56.47874044629039
1,4.5,1.0032,59.73952771461818,207.383203125,12.859839141003349
2,4.5,1.501,59.93109502233519,207.527734375,7.842231731402238
3,4.5,2.0042,59.92231452906897,207.68984375,3.7769760065261417
4,4.5,2.5082999999999998,52.40136073698327,216.022265625,63.3927433747081
5,4.5,3.0102,42.683644168586014,225.391015625,122.10190749093105
6,4.5,3.5093000000000005,46.320247343547095,232.4890625,102.80094951137212
7,4.5,4.0096,51.222983324504945,237.190234375,71.78458398197529
8,4.5,4.5108,58.25956855122619,237.59609375,24.899774113978772
9,4.5,5.0171,57.84862371531362,249.062109375,120.84084592416932
10,4.5,5.5165999999999995,59.44633531639628,260.56328125,158.36734393085868
11,4.5,6.0191,59.69706479212209,268.553515625,147.0582026191991
12,4.5,6.520300000000001,59.7861635385457,275.845703125,142.50992284730938
13,4.5,7.0194,59.75120973892814,279.561328125,118.01852020487975
14,4.5,7.5181,59.84061390201941,277.7265625,38.16978692202765
15,4.5,8.0178,59.92629005688999,274.75546875,28.981727524064677
16,4.5,8.517399999999999,58.15312506473708,274.38828125,44.69566769404909
17,4.5,9.0241,57.12773059881083,282.72421875,144.37627733737557
18,4.5,9.527,59.265941322120284,290.005859375,170.6162784209405
19,4.5,10.0278,59.09576986404382,274.589453125,191.33165760488882
20,4.5,10.526399999999999,59.66384170018323,275.3078125,156.42114280696458
21,4.5,11.0252,59.865309872083074,274.47421875,121.88132257138832
22,4.5,11.5255,59.94268350510514,272.09453125,39.81550628409641
23,4.5,12.0253,59.88585548304392,267.6359375,29.785485493528263
24,4.5,12.5268,56.81515834272469,269.505859375,71.37931616817092
25,4.5,13.0292,58.676656781770774,275.078515625,164.9935597766966
26,4.5,13.531200000000002,59.44683416266572,276.6171875,173.71478459909218
27,4.5,14.032499999999999,59.792686206601886,277.733984375,158.22105274768833
28,4.5,14.5331,59.84809808878963,273.48203125,161.61524605226762
29,4.5,15.0327,59.82806632797126,270.720703125,92.57135129857166
30,4.5,15.5331,59.897506511054736,260.548828125,35.77089415606792
31,4.5,16.032,59.48518934877852,255.5671875,27.027829857916295
32,4.5,16.537100000000002,57.124603170722445,258.81171875,99.26355191865495
33,4.5,17.0406,59.44078576055106,264.90546875,153.17903497914475
34,4.5,17.5412,59.39482369046383,268.655859375,160.08060648426004
35,4.5,18.044,59.63487604403126,267.04296875,153.739262250731
36,4.5,18.548099999999998,59.87606562957542,257.913671875,142.39126857507497
37,4.5,19.057,59.83479937986967,253.891015625,68.86588127355381
38,4.5,19.558500000000002,59.78050030101684,247.60859375,61.60154316513233
39,4.5,20.0544,59.56033706502908,246.26015625,38.46254191499426
40,4.5,20.5502,58.87865904082629,246.311328125,60.54845679299957
41,4.5,21.0548,58.4433392942445,250.3203125,108.20458543168024
42,4.5,21.5542,59.69620032339584,254.159765625,136.1594008434686
43,4.5,22.0556,59.42492180735284,255.667578125,127.42478135131535
44,4.5,22.5556,59.877663459569455,259.598828125,75.20179674799736
45,4.5,23.0566,59.849626598903015,256.2109375,42.36232934115754
46,4.5,23.5576,59.902500562178844,255.969140625,23.410650656925956
47,4.5,24.0593,59.95480894971463,255.435546875,12.79296830919077
48,4.5,24.5609,59.91401910078324,255.44375,12.557761125606863
49,4.5,25.0612,59.937703517432865,255.46796875,11.194113020043542
50,4.5,25.563499999999998,59.938020104998465,255.4921875,10.95429120308867
51,4.5,26.0642,59.93056710912036,255.517578125,11.382511663081763
52,4.5,26.565499999999997,59.941417580519996,255.569140625,10.77173297143364
53,4.5,27.066399999999998,59.93181961540819,255.619921875,11.385715281712299
54,4.5,27.568900000000003,59.945737803144155,255.671484375,11.147470589881987
55,4.5,28.0704,59.93319184609537,255.7296875,11.765155924829962
56,4.5,28.569499999999998,59.95098445671876,255.75546875,10.812872054213575
57,4.5,29.0668,59.96626750670881,255.75546875,8.246095708258812
58,4.5,29.5657,59.97390720497283,255.840625,4.998240779714282
59,4.5,30.0662,59.983234642797456,255.840625,4.204441775195931
60,4.5,30.5651,59.967261006091476,255.91796875,3.207351174750779
61,4.5,31.0661,59.956427608954506,255.96953125,3.391307010144852
62,4.5,31.567,59.961887589938684,256.0125,5.39129071947974
63,4.5,32.0678,59.958585662836924,256.002734375,5.987331562063259
64,4.5,32.5697,59.95889632061854,256.076171875,6.1777113671166815
