Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5039,58.73381218018667,220.792578125,2.3849453883459484
1,4.5,1.0196,58.942592030024876,221.2328125,2.1560855475619967
2,4.5,1.5071999999999999,54.72138720566092,223.314453125,10.443591169566895
3,4.5,2.0088999999999997,52.584889769967766,222.323828125,13.953072187989415
4,4.5,2.506,57.47374608621921,229.759375,7.02586218724773
5,4.5,3.0105999999999997,56.24008531384252,255.430859375,16.992160963025015
6,4.5,3.5137,55.64673766401866,266.627734375,20.55607772214857
7,4.5,4.0129,57.73369170738437,244.49453125,4.788474633622396
8,4.5,4.5161999999999995,54.045874346339474,244.58984375,11.518067980519605
9,4.5,5.0135,50.942095458488424,244.75,16.50668531121179
10,4.5,5.5177,57.283016048142905,245.2859375,7.145289845607044
11,4.5,6.0206,53.604271347834086,245.76796875,24.85821957272612
12,4.5,6.5237,47.6667620087275,245.76171875,51.30559858187887
13,4.5,7.0221,50.08351238338828,246.4109375,42.724537092158414
14,4.5,7.5252,57.73424961879997,246.20703125,13.512631901491625
15,4.5,8.0289,59.8828125,246.0296875,0.394515687250996
16,4.5,8.5278,60.0,246.0265625,0.20120724346076457
17,4.5,9.033,57.82518903975934,246.05234375,3.828766566387512
18,4.5,9.5286,56.848858927606116,246.103125,6.060993835395165
19,4.5,10.0307,52.94474578450257,246.25703125,12.751278903236113
20,4.5,10.5322,53.5719056528978,246.35546875,16.487353945272307
21,4.5,11.033,56.18670441902488,246.610546875,15.25035521380426
22,4.5,11.5388,50.441000748190795,246.801171875,43.08803325975708
23,4.5,12.037,49.11834796838567,246.569921875,43.72044160240627
24,4.5,12.540000000000001,55.835584067807076,246.43203125,23.78470283366335
25,4.5,13.0465,59.288484476051316,246.244921875,1.9648830139163753
26,4.5,13.538900000000002,58.68167086350438,246.219921875,2.396816025895894
27,4.5,14.046600000000002,59.05325443786982,246.2453125,1.7751479289940828
28,4.5,14.5431,55.66705476301222,246.334765625,9.831801531128926
29,4.5,15.044900000000002,48.977228571619264,246.528515625,23.760102346922228
30,4.5,15.546800000000001,55.03224452575023,246.771875,14.18835653413451
31,4.5,16.0519,56.22029494496358,246.80078125,15.473732631343358
32,4.5,16.5513,49.161725037366146,246.947265625,45.28183684511726
33,4.5,17.0487,50.65532620347005,246.99609375,39.84080373807876
34,4.5,17.554,56.66290279420336,246.688671875,18.96353194560191
35,4.5,18.0551,59.16334661354582,246.615234375,1.9812282202410405
36,4.5,18.555,58.919965576592084,246.608984375,2.199273283610633
37,4.5,19.058799999999998,58.56060523650807,246.57890625,2.3989912724865503
38,4.5,19.558,54.080777834898605,246.7078125,14.775260141399269
39,4.5,20.0583,50.650071556513225,246.90703125,20.405456607109166
40,4.5,20.559800000000003,55.825123207265015,246.975390625,13.240959254523878
41,4.5,21.064,54.40732442276173,247.77109375,23.560309334653333
42,4.5,21.563499999999998,46.941348500830145,247.201953125,48.350839808195744
43,4.5,22.0619,51.69338627038437,247.266015625,37.26192880584241
44,4.5,22.5707,57.76115883631915,247.09140625,13.33306503260846
45,4.5,23.064799999999998,59.164746543778804,247.0296875,2.198357659668664
46,4.5,23.5691,58.58266615932969,247.026953125,2.558686722007812
47,4.5,24.0733,58.55021773481066,247.10390625,2.820822606505656
48,4.5,24.575,52.935313755558596,247.16875,16.790035357947172
49,4.5,25.072899999999997,52.189000454149685,247.40625,19.76508587271477
50,4.5,25.576900000000002,56.33787305180031,247.455859375,13.755133407301653
51,4.5,26.080900000000003,51.60586326287743,247.748046875,32.80296331383232
52,4.5,26.577499999999997,51.3125133539678,247.4875,33.283647439052146
53,4.5,27.081400000000002,55.80910637953572,247.34765625,21.620319767078648
54,4.5,27.587200000000003,56.95350084462954,247.380859375,13.968179885613807
55,4.5,28.0839,57.567857804110346,247.262890625,8.718138616305623
56,4.5,28.589999999999996,59.17415108267717,247.30078125,4.521407480314961
57,4.5,29.093200000000003,60.0,247.284375,0.0
58,4.5,29.595,60.0,247.284375,0.0
59,4.5,30.0981,60.0,247.28515625,0.0
60,4.5,30.596899999999998,60.0,247.28515625,0.0
61,4.5,31.100099999999998,60.0,247.2859375,0.0
62,4.5,31.606,60.0,245.1859375,10.685289348472178
63,4.5,32.1041,60.0,245.187890625,0.0
64,4.5,32.6053,60.0,245.187890625,0.0
