Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5072,58.28793331251918,222.258203125,12.312330913108125
1,4.5,1.0234999999999999,59.88372093023256,222.415234375,0.19379844961240308
2,4.5,1.5089,56.30004042082116,224.80390625,8.626827582705348
3,4.5,2.0088999999999997,49.6826045005961,224.127734375,18.992982463769124
4,4.5,2.5088,57.599560062614025,222.98203125,4.196811660349184
5,4.5,3.011,57.38139366459577,244.701171875,11.186056732836402
6,4.5,3.5147,52.963575296865564,275.26875,31.743928588745643
7,4.5,4.0126,57.70811569041388,247.25625,5.24571315677605
8,4.5,4.5194,47.478906235375504,249.26640625,36.70636494944356
9,4.5,5.0202,31.06414288072034,252.404296875,89.33754526951785
10,4.5,5.5172,29.933728122472246,253.25,89.74981049868117
11,4.5,6.0172,30.83919285592477,252.736328125,86.80046710730474
12,4.5,6.527500000000001,41.029013821096875,253.094140625,56.56853326729873
13,4.5,7.033500000000001,57.762732903099426,252.518359375,6.878605747852788
14,4.5,7.524299999999999,58.903810939213415,252.456640625,2.0306477557576814
15,4.5,8.0273,44.801661391676255,253.413671875,47.31161712942942
16,4.5,8.5283,30.745058130120782,255.332421875,91.23352451865307
17,4.5,9.0289,29.66834929580247,255.3015625,92.71628166434401
18,4.5,9.5305,31.530382429517864,255.947265625,82.51771288152656
19,4.5,10.035599999999999,42.647957454728704,255.74765625,50.437582690207094
20,4.5,10.5358,58.45087843120981,255.5875,5.338761511893429
21,4.5,11.0349,56.7746550386737,255.473828125,8.561415231807583
22,4.5,11.5382,38.014077403572195,255.753125,65.30390748443511
23,4.5,12.0342,29.115426869088424,257.252734375,93.41187113726942
24,4.5,12.535599999999999,30.67915029839677,257.25546875,84.9844448344826
25,4.5,13.038,31.681934246755294,256.81640625,82.4382633002409
26,4.5,13.5475,47.29129475019229,257.13671875,40.586953312915945
27,4.5,14.0489,58.684862824489166,257.075390625,2.7952182868949533
28,4.5,14.546199999999999,55.00011720645375,256.421875,13.030528230768358
29,4.5,15.0476,36.12268477954897,257.68515625,70.37525041602755
30,4.5,15.544900000000002,28.60809785505421,257.92578125,94.71738843351417
31,4.5,16.0483,30.674645768359976,257.9265625,86.632894620701
32,4.5,16.5493,33.03450264952056,258.11015625,81.2877674325305
33,4.5,17.0594,51.70996461417754,258.434765625,26.440048895058556
34,4.5,17.558500000000002,58.916801599555484,258.435546875,2.611861221342116
35,4.5,18.0572,50.514793066578875,258.24296875,23.375381517411586
36,4.5,18.561500000000002,32.35755048072309,259.145703125,82.93570037442964
37,4.5,19.055699999999998,28.586803556015457,259.68828125,94.91487310104053
38,4.5,19.5598,30.60242035436959,259.558203125,88.45320767271267
39,4.5,20.0623,36.30111060087619,260.017578125,76.56355607787957
40,4.5,20.5672,54.900195881289974,259.736328125,16.018277304734426
41,4.5,21.0687,58.68981228101842,259.73125,2.995498284754799
42,4.5,21.5743,59.29152002076319,259.73046875,1.1807999653946946
43,4.5,22.076600000000003,59.88188976377953,259.73046875,0.1968503937007874
44,4.5,22.5767,60.0,259.73046875,0.0
45,4.5,23.0758,60.0,259.7296875,0.0
46,4.5,23.586199999999998,60.0,259.747265625,0.0
47,4.5,24.0845,60.0,259.753125,0.0
48,4.5,24.5853,60.0,259.815234375,0.0
49,4.5,25.090799999999998,60.0,259.892578125,0.0
50,4.5,25.588900000000002,60.0,259.896484375,0.0
51,4.5,26.089999999999996,60.0,259.896484375,0.0
52,4.5,26.589199999999998,60.0,259.896484375,0.0
53,4.5,27.0842,59.65004594498574,259.698828125,1.408736131600572
54,4.5,27.583199999999998,59.754925734311826,259.69453125,1.6188800898084015
55,4.5,28.083199999999998,60.0,259.66015625,0.0
56,4.5,28.5868,60.0,259.66015625,0.0
57,4.5,29.092000000000002,60.0,259.66015625,0.0
58,4.5,29.6031,60.0,259.66015625,0.0
59,4.5,30.1016,60.0,259.66015625,0.0
60,4.5,30.6039,60.0,259.66015625,0.0
61,4.5,31.106900000000003,60.0,259.66015625,0.0
62,4.5,31.6116,60.0,252.158203125,5.32513448406718
63,4.5,32.1108,60.0,252.15703125,0.0
64,4.5,32.6135,60.0,252.15703125,0.0
