Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5054000000000001,57.92172666408034,165.7203125,5.5212875798405685
1,4.5,1.0043,57.69862948927029,166.537109375,4.992160598491849
2,4.5,1.5116,57.40586797608711,166.770703125,5.90469247924055
3,4.5,2.0065,53.458206217327074,167.259375,14.324344272222575
4,4.5,2.5027999999999997,52.159630345228834,167.38515625,14.67921106404064
5,4.5,3.0027,53.80848208625,178.937890625,19.812963212760966
6,4.5,3.5101999999999998,56.053927273029515,193.684375,34.44771175182716
7,4.5,4.0199,56.360823627389536,225.5734375,60.05639436126402
8,4.5,4.5161,58.60628004970535,226.308203125,37.42130079461169
9,4.5,5.0079,56.468004848300424,227.805078125,9.054513370454963
10,4.5,5.5091,53.77476553193624,228.258203125,12.174605206034006
11,4.5,6.011,52.841787648806736,228.686328125,13.940963188356857
12,4.5,6.5146,53.63422686770991,230.0640625,24.40292454928914
13,4.5,7.0167,56.38934737707418,233.5828125,39.9620794237898
14,4.5,7.5267,56.71588449084643,241.379296875,76.5903277251307
15,4.5,8.0233,59.49509187085057,245.364453125,63.0625857138448
16,4.5,8.5237,59.50054325802315,245.74140625,30.388412168742388
17,4.5,9.020399999999999,59.38221789660033,245.54140625,2.8347234072193332
18,4.5,9.5221,57.47147210739979,245.439453125,5.212237746771294
19,4.5,10.0231,54.393122957175706,245.514453125,11.338395911802168
20,4.5,10.5238,53.30281452566339,245.66796875,12.959264725628495
21,4.5,11.0263,54.93984767177564,245.60859375,19.501656632982144
22,4.5,11.533100000000001,57.772498140954795,245.681640625,38.307326868356924
23,4.5,12.035,57.498059408811535,246.713671875,67.68295213030429
24,4.5,12.5378,59.871937085807005,247.560546875,56.43877668602552
25,4.5,13.031899999999998,59.84029638880636,247.222265625,29.172026154989176
26,4.5,13.5339,58.5352077501438,246.883984375,6.277401814382863
27,4.5,14.0308,56.637185096017944,246.91796875,6.815052070510537
28,4.5,14.532300000000001,52.58096292099035,247.07890625,14.76120093720495
29,4.5,15.0351,52.58851692901902,240.748046875,16.69992604166307
30,4.5,15.535300000000001,56.51210096330239,234.7484375,24.207754638706863
31,4.5,16.045499999999997,56.87349440110857,216.408984375,50.54951686357661
32,4.5,16.5454,59.42864175562164,216.58046875,64.70069024973125
33,4.5,17.0446,59.67988825298437,212.771875,42.2560765112719
34,4.5,17.5429,59.627419945908215,203.1578125,12.125181344248281
35,4.5,18.0423,58.19982787198776,196.219140625,5.201685376828099
36,4.5,18.5436,53.88948251205935,192.706640625,15.7641572519502
37,4.5,19.043,53.26103581691454,192.831640625,13.558220261273652
38,4.5,19.5497,56.35363924188118,193.21171875,16.478131864940085
39,4.5,20.0514,54.57733063949072,194.920703125,41.53825063455163
40,4.5,20.5553,57.38256915743642,195.54765625,50.56795330306717
41,4.5,21.0614,59.19110881876414,196.226171875,48.76559486585316
42,4.5,21.555699999999998,59.35592132561857,196.31875,19.501251284525107
43,4.5,22.055699999999998,58.9191699299091,196.0765625,13.768670524711165
44,4.5,22.556800000000003,55.93066782831338,196.02421875,13.644534884178878
45,4.5,23.055799999999998,53.969032529441165,196.065625,17.080506842170607
46,4.5,23.556,56.22690113670886,196.138671875,11.668829305902953
47,4.5,24.060899999999997,54.45603860047281,196.4609375,30.743835342436036
48,4.5,24.564500000000002,56.902419199921155,197.437109375,45.68132501072323
49,4.5,25.0666,58.855071383932895,197.881640625,42.539877750159135
50,4.5,25.5647,58.55573470980248,198.300390625,32.921454367063006
51,4.5,26.0661,58.142173922219044,198.408984375,17.655863688639577
52,4.5,26.571199999999997,60.0,198.487890625,11.662423385195662
53,4.5,27.0685,59.99861937883567,198.702734375,5.241935483870967
54,4.5,27.5714,59.89913077462421,198.47421875,0.40650406504065034
55,4.5,28.0728,60.0,198.459765625,0.0
56,4.5,28.5747,60.0,198.459765625,0.0
57,4.5,29.0764,60.0,198.459765625,0.0
58,4.5,29.578699999999998,60.0,198.459765625,0.0
59,4.5,30.080399999999997,60.0,198.459765625,0.0
60,4.5,30.5836,60.0,198.459765625,0.0
61,4.5,31.083499999999997,60.0,198.459765625,0.0
62,4.5,31.5831,60.0,198.459765625,0.0
63,4.5,32.083600000000004,60.0,198.459765625,0.0
64,4.5,32.5827,60.0,198.459765625,0.0
