Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5122,56.4676760330839,204.967578125,7.864771449669412
1,4.5,1.0192,56.563415749134194,205.83828125,8.106437590879581
2,4.5,1.5077,51.52696792684368,206.43046875,16.37812348428621
3,4.5,2.0067,56.283317685828365,206.514453125,6.793274509273578
4,4.5,2.5091,54.57051978701817,227.016015625,15.323018438753152
5,4.5,3.0126,53.94944378259646,233.8546875,21.648290709049085
6,4.5,3.5143999999999997,57.616002741346925,228.88046875,5.574646906008352
7,4.5,4.0141,38.944997988987915,231.405078125,54.487680607387745
8,4.5,4.514799999999999,27.933968121944623,233.596875,84.29571959882182
9,4.5,5.0161999999999995,29.2486650864196,234.016015625,82.55072523876723
10,4.5,5.5191,30.89052241979514,234.289453125,76.5529526408917
11,4.5,6.026,44.7083806268199,234.737890625,43.072357997213246
12,4.5,6.5268,57.36948651144691,234.980078125,6.17703208067526
13,4.5,7.0235,53.6425462490306,235.828125,14.817010486323406
14,4.5,7.5247,33.535195774484585,235.444140625,75.5170438980148
15,4.5,8.0272,28.189012463664632,235.611328125,87.98949521559209
16,4.5,8.5274,27.974750380823792,236.46171875,86.1714118674922
17,4.5,9.0314,31.41556241924973,236.062109375,81.96658417194146
18,4.5,9.537600000000001,49.93018184814035,236.756640625,29.614906937057878
19,4.5,10.0393,58.68532974269009,236.75703125,3.388125119227138
20,4.5,10.5365,46.96910688171634,238.026953125,30.827317070143966
21,4.5,11.0384,29.55742368390753,237.8984375,81.00507648432803
22,4.5,11.5393,25.83805569027198,238.15390625,92.516881473892
23,4.5,12.0412,28.319208411915163,238.46015625,88.88516448507309
24,4.5,12.5388,35.71971189638079,237.8890625,67.64516170998891
25,4.5,13.049000000000001,54.401906673741095,238.025,14.773672708727712
26,4.5,13.547900000000002,57.59141048359278,238.421484375,4.815155809345475
27,4.5,14.0481,41.01846935788946,239.9609375,50.39781292364215
28,4.5,14.5491,25.128885357770837,239.462109375,91.80430400682299
29,4.5,15.049100000000001,26.750304866490904,238.457421875,93.61370993883412
30,4.5,15.552299999999999,28.99099733974278,238.77265625,83.2828086224112
31,4.5,16.0572,41.543002784526635,239.579296875,51.00350626163095
32,4.5,16.5577,56.18412205982543,240.0234375,9.133110228589908
33,4.5,17.0567,54.48926157700534,239.508984375,12.87902080349323
34,4.5,17.5563,35.41212199746981,240.299609375,64.96968781031435
35,4.5,18.0589,25.925551561372544,241.146484375,96.67947791314948
36,4.5,18.5611,27.85486979002038,240.91640625,88.0442425075524
37,4.5,19.0631,30.582155049345403,242.131640625,80.71334976626449
38,4.5,19.5681,46.798929425199205,241.774609375,40.805066812316575
39,4.5,20.0691,57.84136138688251,241.674609375,4.797731021862473
40,4.5,20.569499999999998,59.28187492304403,241.674609375,1.6009171812833363
41,4.5,21.0715,59.64705610428833,241.7,0.5882398261861103
42,4.5,21.5764,60.0,234.502734375,6.334944633915699
43,4.5,22.0771,60.0,234.502734375,0.0
44,4.5,22.5785,60.0,234.501953125,0.0
45,4.5,23.0771,60.0,234.519140625,0.0
46,4.5,23.5821,60.0,234.54296875,0.0
47,4.5,24.0842,60.0,234.599609375,0.0
48,4.5,24.5857,60.0,234.64609375,0.0
49,4.5,25.088,60.0,234.64609375,0.0
50,4.5,25.5911,60.0,234.64609375,0.0
51,4.5,26.0863,59.656143167653724,234.804296875,0.6042779962512403
52,4.5,26.5853,59.63896662326344,235.049609375,1.6129819040125883
53,4.5,27.085500000000003,60.0,235.049609375,0.6004040112545992
54,4.5,27.590600000000002,60.0,235.049609375,0.0
55,4.5,28.0957,60.0,235.049609375,0.0
56,4.5,28.6002,60.0,235.049609375,0.0
57,4.5,29.101800000000004,60.0,235.049609375,0.0
58,4.5,29.6039,60.0,235.049609375,0.0
59,4.5,30.1065,60.0,235.049609375,0.0
60,4.5,30.609500000000004,60.0,235.049609375,0.0
61,4.5,31.110500000000002,60.0,235.049609375,0.0
62,4.5,31.6125,60.0,235.049609375,0.0
63,4.5,32.1145,60.0,235.049609375,0.0
64,4.5,32.61409999999999,60.0,235.049609375,0.0
