Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5084,57.552678770087695,150.228515625,6.109818663562201
1,4.5,1.0058,56.90826451498499,151.705859375,6.631157186908
2,4.5,1.5033999999999998,55.066363270907985,152.334375,13.245810984667603
3,4.5,2.0037,50.40170805005958,152.9390625,22.99587457445922
4,4.5,2.5058,55.46127088438466,153.14921875,9.95765679373687
5,4.5,3.0122,51.63731535360249,175.38203125,42.86349804453231
6,4.5,3.5193,54.74058119539659,188.216796875,57.78601524256586
7,4.5,4.0183,58.65312163182337,193.50703125,37.61969696970359
8,4.5,4.517799999999999,57.0865907186879,193.29765625,13.104481812487432
9,4.5,5.0155,54.44323331278482,193.744921875,14.61848241388343
10,4.5,5.5177,53.074367501512214,194.037109375,14.9325525183856
11,4.5,6.0224,51.78295891005115,194.670703125,26.4182518711213
12,4.5,6.527500000000001,57.01064674634076,197.802734375,34.212299922298044
13,4.5,7.033199999999999,57.24137426611261,201.843359375,70.39682535763126
14,4.5,7.5336,58.6487900208668,204.516015625,59.992944238082984
15,4.5,8.0303,58.034781597948,205.8390625,41.96631268169177
16,4.5,8.5253,56.21757583212011,206.016015625,16.910208258513457
17,4.5,9.028099999999998,54.74807856869065,206.1484375,12.939691143515642
18,4.5,9.531,52.613304233235056,206.43359375,26.340917974125944
19,4.5,10.0339,56.3087183730436,206.91015625,34.130830410545045
20,4.5,10.5367,58.45647166025556,207.834375,48.87989131811235
21,4.5,11.0422,57.88048355729607,208.3984375,47.59916936347987
22,4.5,11.5462,59.594612752977426,208.800390625,37.031588472576296
23,4.5,12.0378,58.014173503029,208.9875,15.181733782070324
24,4.5,12.5367,55.73634803033732,209.083203125,9.956950399660645
25,4.5,13.0382,55.01283973092359,209.237890625,11.340293757983169
26,4.5,13.540700000000001,55.16946554821143,206.694140625,23.11924396869091
27,4.5,14.049000000000001,54.94624678145955,193.3328125,36.97428698442118
28,4.5,14.554300000000001,59.327306148970266,189.417578125,43.03808023291932
29,4.5,15.053899999999999,58.576837756219405,177.103515625,45.57762462657327
30,4.5,15.5554,58.35266009703631,175.724609375,31.33542073403776
31,4.5,16.0504,57.37071192833569,175.083203125,20.996593263510306
32,4.5,16.549,55.13924221747753,175.216796875,11.91780806350641
33,4.5,17.0506,53.83709567994905,175.3453125,15.67538960308481
34,4.5,17.5551,56.88168603960479,175.79296875,22.703911205509858
35,4.5,18.0604,55.71033974058641,176.26328125,44.71710232216698
36,4.5,18.565800000000003,57.891465438304465,176.8734375,48.35019274299302
37,4.5,19.0655,58.25266236593732,177.168359375,37.76358303113386
38,4.5,19.564500000000002,58.611960254945544,177.47421875,26.927868008024586
39,4.5,20.0608,57.61972969084629,177.65625,23.0310351750641
40,4.5,20.560200000000002,54.91453015470552,177.75390625,17.416156645874175
41,4.5,21.0641,54.65217575304147,177.836328125,16.19319487697701
42,4.5,21.5666,54.092948621194616,178.059765625,25.259268293797
43,4.5,22.0737,54.8638395405455,178.48203125,52.27836949073607
44,4.5,22.5738,58.859789887301645,179.058203125,39.95702925095274
45,4.5,23.0774,58.364523063214904,179.31875,46.512330869454
46,4.5,23.5745,59.244882199275956,179.61796875,23.769087175024303
47,4.5,24.0757,59.992900254996094,179.728125,15.536350872818696
48,4.5,24.572499999999998,59.86945932448693,179.728125,1.4204865786347185
49,4.5,25.0744,59.762372510499134,179.728125,0.3960458158347744
50,4.5,25.5765,60.0,179.728125,0.0
51,4.5,26.079,60.0,179.728125,0.0
52,4.5,26.5815,60.0,179.728125,0.0
53,4.5,27.082600000000003,60.0,179.728125,0.0
54,4.5,27.5858,60.0,179.728125,0.0
55,4.5,28.086900000000004,60.0,179.728125,0.0
56,4.5,28.588099999999997,60.0,179.728125,0.0
57,4.5,29.088900000000002,60.0,179.728125,0.1996007984031936
58,4.5,29.5884,60.0,179.727734375,0.0
59,4.5,30.0885,59.879999999999995,179.727734375,0.2
60,4.5,30.590300000000003,60.0,179.727734375,0.0
61,4.5,31.0959,60.0,179.727734375,0.0
62,4.5,31.5976,60.0,179.727734375,0.0
63,4.5,32.101099999999995,60.0,179.727734375,0.0
64,4.5,32.6044,60.0,179.727734375,0.0
