Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5062,58.67135645272587,161.179296875,3.9691144697963145
1,4.5,1.0121,59.788038819943225,161.63203125,0.5802707930367504
2,4.5,1.5085,58.366880095252114,163.162109375,3.8216369199410343
3,4.5,2.0064,55.41919170278654,163.579296875,8.841528071368558
4,4.5,2.5082,49.00154756177601,163.9828125,20.12044756729603
5,4.5,3.0054,56.38186393661225,164.18671875,6.631430786767528
6,4.5,3.5116,55.79541289338548,182.79453125,20.128229137589898
7,4.5,4.0294,59.68737755435378,192.458984375,38.02844401566519
8,4.5,4.5204,59.86090908114208,192.751953125,20.170099494145767
9,4.5,5.0134,49.965969294463854,193.7171875,20.89124633581334
10,4.5,5.5164,52.27415408770412,194.1359375,15.104786293769047
11,4.5,6.0176,58.44243054431782,194.421875,4.963968542371971
12,4.5,6.5295000000000005,57.574910902008924,201.10703125,40.43256024925709
13,4.5,7.0424999999999995,59.9711701128403,204.44296875,40.392201717496356
14,4.5,7.527299999999999,59.86034273588755,204.711328125,35.351691702674124
15,4.5,8.0247,59.43453880657684,204.737109375,3.624145376541661
16,4.5,8.5237,51.740133739314146,205.066796875,15.015238845361917
17,4.5,9.0257,50.434900865086185,205.319140625,18.334316253411846
18,4.5,9.5276,57.59569802471884,205.431640625,7.140318206863915
19,4.5,10.040600000000001,57.23152197267641,205.505859375,33.282422764741185
20,4.5,10.5462,59.947854367675234,205.6640625,39.3764171275067
21,4.5,11.0357,59.91795436600614,205.823046875,33.19114319357867
22,4.5,11.5372,59.25646181792854,205.874609375,7.695510475515087
23,4.5,12.034,59.52214711729622,205.874609375,0.9952286282306163
24,4.5,12.534600000000001,52.92708696447062,206.079296875,13.587017950233847
25,4.5,13.0361,51.86926585889955,206.433203125,15.347264981239954
26,4.5,13.5395,56.86614153834175,206.559375,8.067113346323463
27,4.5,14.0532,57.15386594436497,205.744140625,28.539048603891512
28,4.5,14.559700000000001,59.40012801541526,187.43203125,40.64608848367798
29,4.5,15.0528,59.954819501788634,187.61796875,36.392954056928794
30,4.5,15.5498,59.43871265610331,187.6953125,12.708525031120429
31,4.5,16.0456,59.059559108162624,187.72109375,2.817526181283772
32,4.5,16.5492,53.575994255142064,187.873046875,12.487240215708507
33,4.5,17.0496,50.90311178933406,188.151953125,16.95480265349001
34,4.5,17.553800000000003,55.37605537601096,188.3203125,12.644071366108353
35,4.5,18.061,57.536758291544274,188.57578125,34.340040528838706
36,4.5,18.5707,59.17726442797847,188.74140625,50.17292956894518
37,4.5,19.0691,59.89601429772593,188.9515625,44.50932046579233
38,4.5,19.564,59.661094253191685,189.080078125,17.49988434672615
39,4.5,20.058500000000002,59.0471315246283,189.080078125,4.62851692885871
40,4.5,20.5582,54.73111949170483,189.207421875,9.7822755171341
41,4.5,21.0617,51.538151563345096,189.46171875,16.288057707285994
42,4.5,21.5642,54.11909593073456,189.638671875,12.934262486930043
43,4.5,22.069200000000002,57.56368145973562,189.849609375,27.986602986460504
44,4.5,22.5774,58.73119726212881,189.925,49.06418371056358
45,4.5,23.0804,59.70569911072776,190.100390625,49.72805042150678
46,4.5,23.5705,59.901943374146256,190.17734375,22.09822405140634
47,4.5,24.067,59.59922779349934,190.17734375,3.4157586989424673
48,4.5,24.569200000000002,60.0,190.17734375,0.0
49,4.5,25.0727,59.88047808764941,190.17734375,0.199203187250996
50,4.5,25.573900000000002,59.879999999999995,190.17734375,0.2
51,4.5,26.0773,60.0,190.17734375,0.0
52,4.5,26.5782,60.0,190.17734375,0.0
53,4.5,27.0802,60.0,190.17734375,0.0
54,4.5,27.5828,60.0,190.17734375,0.0
55,4.5,28.0856,60.0,190.17734375,0.0
56,4.5,28.586000000000002,60.0,190.17734375,0.0
57,4.5,29.089,60.0,190.17734375,0.0
58,4.5,29.5879,60.0,190.17734375,0.0
59,4.5,30.086000000000002,60.0,190.17734375,0.20202020202020204
60,4.5,30.5863,59.75926596643728,190.17734375,0.401223389271198
61,4.5,31.089499999999997,60.0,190.17734375,0.0
62,4.5,31.594600000000003,60.0,190.17734375,0.1976284584980237
63,4.5,32.0974,60.0,190.17734375,0.0
64,4.5,32.6002,60.0,190.17734375,0.0
