Measurement,Iteration,Time,FPS,RAM,CPU
0,4.5,0.5123,59.15866273392644,162.781640625,1.7617887093697142
1,4.5,1.0112999999999999,58.40060034073989,164.108203125,4.812290709646696
2,4.5,1.5043,58.90285473215105,164.498828125,1.8285754464149087
3,4.5,2.006,51.51181853932303,164.805078125,16.13707944654157
4,4.5,2.5069,50.41782548472159,165.136328125,17.962482276189515
5,4.5,3.0065,59.40048295208709,165.31953125,1.404019283624588
6,4.5,3.5321,54.62400893009537,191.8734375,33.48303510581286
7,4.5,4.0286,59.80658732285402,194.645703125,43.12863334542382
8,4.5,4.511,55.902879389761985,195.509765625,13.462533792394293
9,4.5,5.0344,37.97709349600632,202.33125,62.126306022045824
10,4.5,5.5272,42.1968574291437,205.513671875,59.48404813018211
11,4.5,6.0324,52.55645977228248,207.517578125,51.88069477353497
12,4.5,6.5357,57.13121074162791,208.833984375,50.87388636081481
13,4.5,7.039700000000001,59.30451503738736,209.61015625,41.67184237677193
14,4.5,7.5202,57.59525312725522,209.76328125,7.890385298657423
15,4.5,8.023900000000001,52.142369630103246,211.24609375,19.920961439563904
16,4.5,8.536,42.41038364967418,214.767578125,48.917108225179675
17,4.5,9.034600000000001,43.00300112974679,218.032421875,59.156007792819615
18,4.5,9.543099999999999,51.987040924562336,220.173046875,51.215375404069235
19,4.5,10.045300000000001,56.853647067765834,202.101171875,58.901826784495746
20,4.5,10.5459,58.661441005027584,200.45859375,41.449236495490354
21,4.5,11.0384,57.1189180559447,200.739453125,19.398102578905743
22,4.5,11.5364,51.110317705493706,201.705078125,22.07288367003194
23,4.5,12.047,45.17374906894064,203.954296875,40.08759291843705
24,4.5,12.5521,42.51336391430772,207.120703125,57.66320352046148
25,4.5,13.049699999999998,49.27750343792067,209.001953125,56.727832120722724
26,4.5,13.5536,54.98538417578702,210.35078125,56.02813121929929
27,4.5,14.0531,58.21603696183602,202.784375,42.067930942903175
28,4.5,14.552699999999998,56.573463680075214,193.366015625,33.55298805096268
29,4.5,15.044,51.765988577251825,191.489453125,24.327944415494827
30,4.5,15.552000000000001,48.639737006594224,193.034375,33.132874570010024
31,4.5,16.0609,44.43880163583033,195.447265625,52.434213650937544
32,4.5,16.5651,48.177239258739895,197.76953125,56.7696341639749
33,4.5,17.0601,53.38614440584721,199.16015625,50.56828693655518
34,4.5,17.5671,56.716689995975614,199.99453125,39.37237254378739
35,4.5,18.0609,57.88055641269379,200.654296875,29.255555483851246
36,4.5,18.5565,53.297533330816506,201.747265625,25.849153949829123
37,4.5,19.058,49.30780056133892,203.15859375,28.52252514669874
38,4.5,19.5688,46.18539242472984,206.36875,46.4246913105351
39,4.5,20.072200000000002,45.04141155277908,209.23515625,57.811163508096584
40,4.5,20.5717,51.55354668420438,211.488671875,57.085116590061055
41,4.5,21.0721,56.2548450132594,213.177734375,43.611467431317145
42,4.5,21.5762,58.06994393807922,214.361328125,36.25967040018817
43,4.5,22.0689,58.31323794262835,214.732421875,18.471209727409992
44,4.5,22.5642,57.187316299326234,214.83359375,7.753084716865783
45,4.5,23.0649,57.953781027386185,214.83359375,3.8095665511627557
46,4.5,23.5667,59.52286282306163,214.859375,1.3916500994035785
47,4.5,24.0671,60.0,214.859375,0.0
48,4.5,24.5702,60.0,214.859375,0.0
49,4.5,25.0727,60.0,214.859375,0.0
50,4.5,25.5748,60.0,214.859375,0.0
51,4.5,26.076100000000004,60.0,214.859375,0.0
52,4.5,26.5781,60.0,214.859375,0.0
53,4.5,27.079700000000003,60.0,214.859375,0.0
54,4.5,27.581200000000003,60.0,214.859375,0.0
55,4.5,28.0807,60.0,214.859375,0.3996007984031936
56,4.5,28.580900000000003,60.0,214.858984375,0.0
57,4.5,29.082900000000002,60.0,214.858984375,0.0
58,4.5,29.587400000000002,60.0,214.858984375,0.0
59,4.5,30.0901,60.0,214.858984375,0.0
60,4.5,30.592899999999997,60.0,214.858984375,0.0
61,4.5,31.095299999999998,60.0,214.858984375,0.0
62,4.5,31.5971,60.0,214.858984375,0.0
63,4.5,32.0991,60.0,214.858984375,0.0
64,4.5,32.6027,60.0,214.858984375,0.0
